tamano,sector,ActividadEconomica,SENA,Temporal,BolsaEmpleo,Periodico,RecomendacioAmigos,RecomendacionTra,Otro,Nivel_contratados,TotalProfesionales,TotalTecTecnolo
GRANDE,SERVICIOS,CONSTRUCCION OBRAS CIVILES,6,5,7,,,,,Tecnicos o Tecnologos,10,15
GRANDE,SERVICIOS,CONSTRUCCION DE EDIFICACIONES PARA USO RESIDENCIAL,1,,,,,,,Tecnicos o Tecnologos,15,16
GRANDE,SERVICIOS,TRANSPORTE MARITIMO,1,2,4,5,6,,,Tecnicos o Tecnologos,1,4
GRANDE,SERVICIOS,SERVICOS RELACIONADOS CON TELE,4,2,,,,,,Tecnicos o Tecnologos,10,20
GRANDE,SERVICIOS,CONSULTORIA,6,,,,,,,Tecnicos o Tecnologos,4,8
GRANDE,SERVICIOS,FINANCIACION DE POLIZAS,2,,,,,,,Universitarios,2,0
GRANDE,SERVICIOS,SERVICIOS PUBLICITARIOS,4,7,,,,,,Universitarios,2,0
GRANDE,SERVICIOS,SERVICIOS,1,4,2,6,5,,,Universitarios,10,5
GRANDE,SERVICIOS,FABRICANTES DE CERRADURAS,1,6,,,,,,Tecnicos o Tecnologos,2,4
GRANDE,SERVICIOS,SERVICIOS DE SALUD,4,5,6,,,,,Tecnicos o Tecnologos,80,120
GRANDE,SERVICIOS,FINANCIERO,1,5,6,,,,,Tecnicos o Tecnologos,10,20
GRANDE,SERVICIOS,PUBLICIDAD Y MERCADEO,7,6,1,,,,,Universitarios,5,1
MEDIANA,COMERCIO,EXPORTACION DE CARBON,7,,,,,,,Universitarios,3,0
MEDIANA,COMERCIO,COMERCIO,6,7,,,,,,Tecnicos o Tecnologos,2,10
MEDIANA,COMERCIO,DISTRIBUCION Y VENTA DE PRODUC,6,5,,,,,,Tecnicos o Tecnologos,5,30
MEDIANA,COMERCIO,INTERMEDIACION,1,2,3,,,,,Universitarios,6,0
MEDIANA,COMERCIO,COMERCIO,5,6,2,,,,,Universitarios,18,10
MEDIANA,COMERCIO,INDUSTRIA Y COMERCIO,6,,,,,,,Universitarios,10,0
MEDIANA,COMERCIO,COMERCIO,6,,,,,,,Tecnicos o Tecnologos,4,5
MEDIANA,COMERCIO,COMERCIALIZACION,1,2,3,4,5,6,,Universitarios,5,2
MEDIANA,COMERCIO,COMERCIALIZADORA DE MATERIALES,5,,,,,,,Universitarios,1,0
MEDIANA,COMERCIO,COMERCIO,4,2,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,COMERCIO,COMERCIO,2,5,,,,,,Tecnicos o Tecnologos,0,1
MEDIANA,COMERCIO,MAQUINARIA PARA CONFECCION,3,4,5,6,,,,Tecnicos o Tecnologos,4,5
MEDIANA,COMERCIO,PRODUCTOS DE ASEO PARA HOGAR,1,5,6,,,,,Universitarios,30,20
MEDIANA,COMERCIO,IMPORTACION Y VENTA DE REP AUT,6,,,,,,,Tecnicos o Tecnologos,0,4
MEDIANA,COMERCIO,VENTA DE MEDICAMENTOS,4,2,,,,,,Tecnicos o Tecnologos,8,10
MEDIANA,COMERCIO,COMERCIO,4,,,,,,,Tecnicos o Tecnologos,4,5
MEDIANA,COMERCIO,COMERCIO,6,,,,,,,Universitarios,6,3
MEDIANA,COMERCIO,AGRICOLA,1,6,,,,,,Universitarios,7,5
MEDIANA,COMERCIO,COMERCIALIZACION,1,,,,,,,Tecnicos o Tecnologos,3,5
MEDIANA,COMERCIO,DISTRIBUIDOR DE MATERIALES,7,,,,,,,Universitarios,7,0
MEDIANA,COMERCIO,PRODUCCION PIELES EXOTICAS,6,7,,,,,,Universitarios,1,0
MEDIANA,COMERCIO,DISTRIBUIDORES,4,6,,,,,,Universitarios,2,0
MEDIANA,COMERCIO,IMPORTACION Y DISTRIBUCION DE,1,2,3,4,5,6,7,Tecnicos o Tecnologos,8,10
MEDIANA,COMERCIO,IMPORTADORES DE MAQUINARIA,7,,,,,,,Tecnicos o Tecnologos,1,2
MEDIANA,COMERCIO,COMERCIO AL POR MAYOR MENOR,1,5,6,,,,,Tecnicos o Tecnologos,5,7
MEDIANA,COMERCIO,APOYO A LA ADMINISTRACION DE,1,,,,,,,Universitarios,6,0
MEDIANA,COMERCIO,COMERCIO,4,1,7,,,,,Universitarios,2,0
,,,,,,,,,,,,
MEDIANA,COMERCIO,VENTA DE MAQUINARIA,1,2,,,,,,Tecnicos o Tecnologos,1,7
MEDIANA,COMERCIO,COMERCIALIZA PRENDAS DE VESTIR,4,5,6,,,,,Tecnicos o Tecnologos,5,8
MEDIANA,COMERCIO,COMERCIO,1,2,4,5,6,,,Tecnicos o Tecnologos,3,5
MEDIANA,COMERCIO,DISTRIBUCION Y COMERCIALIZACIO,1,5,7,,,,,Tecnicos o Tecnologos,2,3
MEDIANA,COMERCIO,IMPORTADORA DE MONTA CARGA,1,2,3,4,5,6,,Tecnicos o Tecnologos,15,20
MEDIANA,COMERCIO,INDUSTRIA,6,,,,,,,Universitarios,15,0
MEDIANA,COMERCIO,VENTA Y DISTRIBUCION DE MATERI,1,,,,,,,Universitarios,2,0
MEDIANA,COMERCIO,COMERCIALIZACION DE BOVINOS,6,,,,,,,Universitarios,12,10
MEDIANA,COMERCIO,IMPORTADORA DE PRODUCTOS,5,,,,,,,Universitarios,2,0
MEDIANA,COMERCIO,COMERCIO,7,,,,,,,Universitarios,7,2
MEDIANA,COMERCIO,COMERCIO,5,6,,,,,,Tecnicos o Tecnologos,0,1
MEDIANA,COMERCIO,VENTA DE VEHICULOS,7,6,5,2,,,,Universitarios,2,0
